Company Name,Company Address,Expired Date (Halal),Phone No.,Email
ABIDIN BIN HASHIM,"NO. 4 PROSES AYAM DAN UNGGAS BANDAR BARU 27200 KUALA LIPIS, PAHANG.",['28/02/2023.'],['0179247180'],['TIADA']
ADVANCE CHICKEN PROCESSING (M) SDN. BHD,"LOT 8, KAWASAN PERINDUSTRIAN JEJAWI,02600 ARAU, PERLIS.02600ARAUPerlis","['15/06/2023', '30/06/2022.']",['04-9762645'],['advancechicken8500@gmail.com']
AIMAN RESTU ENTERPRISE,"27, TINGKAT ATAS, TAMAN PASIR EMAS,JALAN BALIK PULAU,11000, BALIK PULAU, PULAU PINANG.","['28/02/2023', '31/12/2022.']",['048661951'],['aimanrestu99@gmail.com']
ALI AHMAD BIN WARIS ALI,"LOT 3119,MUKIM DURIAN TUNGGAL, 76100 ALOR GAJAH, MELAKAMelaka",['30/04/2022.'],['0123987001'],['-']
AMZA RESOURCES SDN. BHD. ,"25, JALAN TPP 6/3, TAMAN PERINDUSTRIAN PUCHONG, SEKSYEN 647100 PUCHONG, SELANGOR.Selangor",['15/04/2022.'],['0380664405'],['haniffmirza@hotmail.com']
AYAM AL HILAL SDN BHD,"LOT 73, JALAN MERBAU PULAS , KAWASAN PERINDUSTRIAN,09300 KUALA KETIL, KEDAH.","['15/05/2023', '31/01/2023.']",['044160306'],['ayam.alhilal@yahoo.com']
AYAM BELIDA SDN BHD,"NO. 56A, KAMPUNG SETIA JAYA,08800 YAN, KEDAH.",['31/01/2023.'],['01136295360'],['munyatiomar@yahoo.com']
AYAM BINTANG ISTIMEWA SDN BHD,"PT 6546, (LOT 8545) JALAN BDK 3/7, BANDAR DAMANSARA KUANTANPERINDUSTRIAN  DAMANSARA, JALAN BDK 3/7, 26100 KUANTAN, PAHANG",['30/11/2022.'],['0164223750'],['ayambintang.i@gmail.com']
AYAM CHAMPION FOOD SDN BHD,"LOT 8151, KAMPUNG TANJUNG BUNDONG,MINI INDUSTRIAL ESTATE,94300 KOTA SAMARAHAN, SARAWAK.94300KOTA SAMARAHANSarawak","['31/05/2023', '31/08/2022', '30/06/2022.']",['082-672668'],['acfood.compliance@gmail.com']
AYAM GLOBAL VENTURE SDN BHD,"NO.77, JALAN WAJA INDAH 1B,TAMAN WAJA INDAH,09000 KULIM, KEDAH.09000TAMAN WAJA INDAHKedah",['15/09/2022.'],['0175487079'],['ayamglobal5194@gmail.com']
AYAM MEGA SDN.BHD.,"NO.82 & 83, JALAN WAJA INDAH 2, TAMAN WAJA INDAH,09000 KULIM, KEDAH.","['31/12/2024', '15/04/2022.']",['04-4924822'],['ayam_mega88@hotmail.com']
AYAM PROSES SEGAR ALIF,"NO. PK 11, JALAN BESAR,KAMPUNG PEKAN KECHIL (DEPAN SURAU),35400, TAPAH ROAD, PERAK.",['31/12/2022.'],['0194764444'],['ayamalif44@gmail.com']
AYAM PUTIH SDN. BHD.,"PT 1208 JALAN KUBANG KACANG KG TIONG KUBANG KACANG16010, KOTA BHARU, KELANTAN.Kelantan",['15/04/2022.'],['0199070777'],['ayamputih89@yahoo.com']
AYAM SHF SDN. BHD.,"2, PTD 8757, JALAN PERINDUSTRIAN 1,KAWASAN PERINDUSTRIAN PONTIAN,82000 PONTIAN, JOHOR.","['31/12/2023', '31/12/2022.']",['076872481'],['ayamshfhalal@gmail.com']
AYAM SURIA (IPOH) SDN BHD,"NO.15A, JALAN INDUSTRI 1/2A, KAWASAN PERINDUSTRIAN GOPENGKAWASAN PERINDUSTRIAN GOPENG,31600GOPENGPerak",['30/04/2022.'],['+605357319'],['ayamsuriaipoh17@gmail.com']
AYAMAS FOOD CORPORATION SDN BHD,"LOT PT 20153JALAN PELABUHAN UTARA42000, PELABUHAN KLANG, SELANGOR.","['31/12/2023', '31/12/2023', '30/11/2023', '15/08/2023', '15/06/2023', '15/03/2023', '15/02/2023', '15/02/2023', '15/02/2023', '15/01/2023', '31/12/2022', '15/08/2022', '31/07/2022', '15/06/2022.']",['03-31670836'],['hayazi.darus@qsrbrands.com.my']
AYAMPLUS FOOD CORPORATION SDN. BHD.,"(SENG KEE CHAN TRADING (M) SDN. BHD.)NO. 1759, JALAN BUKIT PANCHOR,14300, NIBONG TEBAL, SPS, PULAU PINANG.",['30/09/2022.'],['04-593 1651'],['ayamplus@gmail.com']
AZ ZAIN DISTRIBUTION,"LOT 5295 & 5296 BATU 19,JALAN SEMENYIH KAWASAN PERINDUSTRIAN KAJANG JAYA,43500 SEMENYIH, SELANGOR.",['30/11/2022.'],['01165044040'],['drzainol.zci@gmail.com']
AZA IM ENTERPRISE SDN. BHD.,"15,JALAN PERDANA 5, TAMAN PERDANA,BUKIT SIPUT85020 SEGAMAT, JOHOR",['31/12/2022.'],['07-9431094'],['aza_impuyuh@yahoo.com']
AZAM NIAGA ENTERPRISE,"RUMAH SEMBELIH AZAM NIAGA NO. 3, JALAN PANTAI 7, KG. JAWA,26820 ROMPIN, PAHANGPahang",['30/09/2022.'],['013-2063356'],['alongside83.as@gmail.com']
AZMAN BIN MAT TAHAR,"NO 3,GERAI AYAM BANGUNAN PASAR BESAR JERANTUT JALAN BIDAI27000 JERANTUT, PAHANGPahang",['30/04/2022.'],['0139057986'],['TIADA']
AZMI FRESH CHICKEN SDN. BHD.,"NO. 97 & 98, JALAN ALAM JAYA 2,TAMAN PERINDUSTRIAN ALAM JAYA, PEKAN NANAS,81500 PONTIAN, JOHOR.",['31/12/2022.'],['075095545/07236879'],['afcsb_azmi@yahoo.com']
AZMI MURNI RESOURCES,"DARUL SAADAH LOT 1251 JALAN USTAZ MIKAMPUNG PETANI SERING,16150, KOTA BHARU, KELANTAN","['15/02/2023', '31/01/2023.']",['0199141891'],['azmimurni6874@gmail.com']
BAKTI FARM HOLDING SDN BHD ,"NO 120,121,122, JALAN PERDANA 6 TAMAN PERINDUSTRIAN PERDANA LUKUT,71010 PORT DICKSON, NEGERI SEMBILAN.71010PORT DICSONNegeri Sembilan",['15/08/2022.'],['066511205'],['halal@baktifarm.com']
BESTARI BERSATU SDN. BHD.,"D/A BESTARI BERSATU SDN. BHD. LOT 3.19,, PLAZA AMPANG CITY, JALAN AMPANG,PLAZA AMPANG CITY, JALAN AMPANG,50450 KUALA LUMPUR",['30/11/2022.'],['0129256781'],['bestaribersatu@yahoo.com']
BISMI CERGAS SDN BHD,"NO. 11, JALAN KANGKONG, SIMPANG EMPAT,06650 ALOR SETAR, KEDAH.",['31/12/2022.'],['04-7641828'],['admin@ayambismi.com']
BODCOAGRO RESOURCES SDN BHD,"LOT 27, BLOCK 7, SENGGI POAK LAND DISTRICT,JALAN SUNGAI PINANG, BAU,94000 KUCHING, SARAWAK.Sarawak",['31/08/2022.'],['082332062'],['bodco175666@gmail.com']
BOH MING FOOD PROCESSING INDUSTRIES SDN BHD,"31A, JALAN TAPAH,96000 SIBU, SARAWAK.96000SIBUSarawak",['15/04/2022.'],['084-323402'],['hewhuat@gmail.com']
CCK FRESH MART SDN BHD,"LOT NO. 21A & 21B,LOK KAWI INDUSTRIAL ESTATE, PAPAR,88200 KOTA KINABALU, SABAH.88200Sabah",['31/10/2022.'],['088-755177'],['swezie.nelly@cck.com.my']
CENTRAL COLDSTORAGE KUCHING SDN BHD,"LOT 999, SECTION 66, JALAN KELULI,BINTAWA INDUSTRIAL ESTATE,93450 KUCHING, SARAWAK.Sarawak",['31/08/2022.'],['082-336520'],['seruji@cck.com.my']
CHICWAN TRADING SDN BHD,"FLAT 106 TINGKAT1 1, NO 4 TAMAN BAMBOO, JALAN TUN HUSSEIN ONNJALAN SEBIEW, P. O. BOX 1233,BINTULU97000BINTULUSarawak",['31/05/2022.'],"['086-318725, 086-330725']",['chicmnfu@gmail.com']
COMERICH SDN. BHD.,"GROUND  FLOOR, SUBLOT 10 & 11, LRG METROCITY MATANG COMMERCIAL CENTRE, SECTION 65, KTLD,93050 KUCHING, SARAWAK.",['15/11/2022.'],['082-332159'],['enquiry@comerich.com.my']
D SMART TRADING,"NO. 2, PASAR AYAM JERANTUT,27000 JERANTUT, PAHANG.Pahang",['30/04/2022.'],['0196658633'],['ROSDI8633@GMAIL.COM']
DEENO FARM SDN BHD,"SURVEY LOT 772, 1ST FLOOR TAMAN LAMBIR JAYA,PHASE 4, BLOCK 13, BUKIT KISI L/D,98000 MIRI, SARAWAK",['31/10/2022.'],['0138824433'],['deeno.farm.sb@gmail.com']
DESA HATCHERY SDN BHD,"23 KM, JALAN PENAMPANG/PAPAR,LOK KAWI INDUSTRIAL ESTATE, 89580 KOTA KINABALU, SABAHSabah",['15/11/2022.'],['088-753008'],['rosnakahar@hotmail.com']
DINDINGS POULTRY PROCESSING SDN BHD,"SUITE 28.01, LEVEL 28, MENARA CITIBANK 165, JALAN AMPANG,50450, KUALA LUMPUR.","['15/11/2023', '31/08/2023', '30/06/2023', '31/12/2022', '15/11/2022', '30/04/2022.']",['03-21700999'],['mohdaslahbk@mflour.com.my / mariam@mflour.com.my']
DWAN ENTERPRISE,"LOT 1021, TEPUS GUNONG,16090, BACHOK, KELANTAN.",['15/11/2022.'],['0169244145'],['DWANENTERPRISE77@GMAIL.COM']
DYNAVEST FOOD INDUSTRIES SDN BHD,"PT 3088, JALAN INDUSTRI 1/1,KAWASAN PERINDUSTRIAN GOPENG,31600, GOPENG, PERAK.","['15/06/2023', '15/11/2022.']",['053573819'],['contact@dynavestfood.com.my']
EAST ASIA RABBIT CORPORATION SDN. BHD.,"LOT 1556MUKIM LENGGENG,71750, LENGGENG, NEGERI SEMBILAN.Negeri Sembilan",['15/09/2022.'],['0126362833'],['jwwong@earcsb.com']
ENG PENG COLD STORAGE SDN. BHD.,"LOT 9, INDUSTRIAL ZONE 8A,KOTA KINABALU INDUSTRIAL PARK,88450 KOTA KINABALU, SABAH.Sabah","['15/07/2023', '15/07/2023', '31/07/2022.']",['088-492033'],['patrick.shu@engpeng.com.my']
ERA BUMI AYAM SEGAR,"KAMPUNG SEBERANG BATU HAMPARSOLOK JELAWAI71300, REMBAU, NEGERI SEMBILAN.71300Negeri Sembilan",['15/03/2023.'],['06-6858947'],['erabumiayamsegar8947@gmail.com']
EVERGROWTH INTEGRATED FOOD INDUSTRIES SDN BHD ,"P.O. BOX 1027, 91008 TAWAU, SABAH.91008Sabah",['15/05/2022.'],['019-8533778'],['evergrowth.kk@gmail.com']
F.Y. SDN BHD,"27-28, PT 145363, OFF JALAN SERAMIK CHEPOR 11/1,PUSAT SERAMIK FASA 2,31200, CHEPOR, PERAK.","['31/12/2022', '15/12/2022.']",['05-2016199'],['fyfood@tm.net.my']
FAKHUN ENTERPRISE,"NO 9, JALAN TTS 3/5, TAMAN TASIK SEMENYIHTAMAN TASIK SEMENYIH,43500 SEMENYIH, SELANGOR.",['15/12/2022.'],['0122442447'],['zaschicken@gmail.com']
FARM'S BEST FOOD INDUSTRIES SDN BHD,"LOT 37 & 38,KAWASAN PERINDUSTRIAN MASJID TANAH,78300MASJID TANAHMelaka","['15/12/2023', '15/12/2023', '15/12/2023', '15/07/2023', '15/03/2023', '15/01/2023', '15/12/2022', '15/07/2022', '15/07/2022', '15/07/2022', '15/07/2022.']",['06-3847177'],['fblbr@farmsbest.com.my']
GEMESTA PUYUH ENTERPRISE,"KG NERAMBAI, LUBOK CHINA,71150, LINGGI, NEGERI SEMBILAN.",['15/12/2022.'],['0163282431'],['gemesta@yahoo.com.my']
GOLDEN ELITE FOOD SDN BHD,"NO. 30, PERSIARAN INDUSTRI BERCHAM 9,OFF JALAN BERCHAM, KAWASAN PERINDUSTRIAN RINGAN BERCHAM,31400, IPOH, PERAK",['15/11/2022.'],['055412208'],['qc_geip@klsp.com.my']
GOOD POULTRY SDN BHD,"NO 2 JLN SC 5/CPUSAT PERINDUSTRIAN SG.CHUA43000 KAJANG, SELANGOR.",['15/10/2022.'],['0123583191'],['ela@goodpoultry.com']
HAFIZ FARM SDN BHD,"P.O.BOX 60445,91114 LAHAD DATU, SABAHSabah",['30/04/2022.'],['089-885750'],['hafizfarm@yahoo.com']
HARUMI BRANDS SDN BHD,"PLOT 135 & 136, KAWASAN PERINDUSTRIAN PELABUHAN LUMUT,KAMPUNG ACHEH32000, SITIAWAN, PERAK32000SITIAWANPerak","['31/10/2022', '31/10/2022', '31/07/2022', '30/04/2022.']",['056921822'],['qc@dbegurney.com']
HDA POULTRY SDN. BHD. ,"LOT PT 17090, TAMAN DARUL IMAN,JALAN BATU RAKIT, KAMPUNG MENGABANG TELONG,21020, KUALA TERENGGANU, TERENGGANU.Terengganu",['15/07/2022.'],['096694742'],['hdapoultry@yahoo.com']
HEAP YEE BROTHERS PROCESSING SDN BHD,"3319, KAMPUNG MAYA,SALAK SOUTH,57100 KUALA LUMPUR. ",['15/02/2023.'],['03-79815327 / 79839618'],['heapyee@yahoo.com']
