Company Name,Company Address,Expired Date (Halal),Phone No.,Email
ABIDIN BIN HASHIM,"NO. 4 PROSES AYAM DAN UNGGAS BANDAR BARU 27200 KUALA LIPIS, PAHANG.",28/02/2023.,0179247180,TIADA
ADVANCE CHICKEN PROCESSING (M) SDN. BHD,"LOT 8, KAWASAN PERINDUSTRIAN JEJAWI,02600, ARAU, PERLIS.",30/06/2023,04-9762645,advancechicken8500@gmail.com
AIMAN RESTU ENTERPRISE,"27, TINGKAT ATAS, TAMAN PASIR EMAS,JALAN BALIK PULAU,11000, BALIK PULAU, PULAU PINANG.",28/02/2023,048661951,aimanrestu99@gmail.com
AL FRESHKEN GLOBAL SDN. BHD.,"NO 11, JALAN TPP 6/4, TAMAN PERINDUSTRIAN PUCHONG, 47100 PUCHONG, SELANGOR.",31/05/2023.,0199000700,alfreshken@gmail.com
ALI AHMAD BIN WARIS ALI,"LOT 3119,MUKIM DURIAN TUNGGAL, 76100 ALOR GAJAH, MELAKA",30/04/2023.,0123987001,-
AMZA RESOURCES SDN. BHD. ,"25, JALAN TPP 6/3, TAMAN PERINDUSTRIAN PUCHONG, SEKSYEN 647100 PUCHONG, SELANGOR.",31/07/2023.,0380664405,haniffmirza@hotmail.com
ARAH WARGA SDN BHD,"24, JALAN SJ 6/2,TAMAN SEREMBAN JAYA,70450, SEREMBAN, NEGERI SEMBILAN.",15/07/2023.,0126013287,arah.warga@gmail.com
AUFA FOODS,"NO 3, JALAN 6/3,SEKSYEN 6,BANDAR RINCHING,43500 KAJANG, SELANGOR.",31/03/2023.,0122965079,roaziz7@yahoo.com
AYAM AL HILAL SDN BHD,"LOT 73, JALAN MERBAU PULAS , KAWASAN PERINDUSTRIAN,09300 KUALA KETIL, KEDAH.",15/05/2023,044160306,ayam.alhilal@yahoo.com
AYAM BELIDA SDN BHD,"NO. 56A, KAMPUNG SETIA JAYA,08800 YAN, KEDAH.",31/01/2023.,01136295360,munyatiomar@yahoo.com
AYAM BINTANG ISTIMEWA SDN BHD,"PT 6546, (LOT 8545) JALAN BDK 3/7, BANDAR DAMANSARA KUANTANPERINDUSTRIAN  DAMANSARA, JALAN BDK 3/7, 26100 KUANTAN, PAHANG",30/11/2022.,0164223750,ayambintang.i@gmail.com
AYAM CHAMPION FOOD SDN BHD,"LOT 8151, KAMPUNG TANJUNG BUNDONG,MINI INDUSTRIAL ESTATE,94300 KOTA SAMARAHAN, SARAWAK.",31/05/2024,082-672668,acfood.compliance@gmail.com
AYAM HEBAT PROSESAN SDN. BHD.,"LOT 698 MK 12 JALAN BUKIT TAMBUN, JURU ESTATE, JURU14000, BUKIT MERTAJAM, PULAU PINANG.",28/02/2023.,0133360000,ayamhebatprosesan@gmail.com
AYAM MEGA SDN.BHD.,"NO.82 & 83, JALAN WAJA INDAH 2, TAMAN WAJA INDAH,09000 KULIM, KEDAH.",31/12/2024,04-4924822,ayam_mega88@hotmail.com
AYAM PROSES SEGAR ALIF,"NO. PK 11, JALAN BESAR,KAMPUNG PEKAN KECHIL (DEPAN SURAU),35400, TAPAH ROAD, PERAK.",31/12/2022.,0194764444,ayamalif44@gmail.com
AYAM PUTIH SDN. BHD.,"PT 1208 JALAN KUBANG KACANG KG TIONG KUBANG KACANG16010, KOTA BHARU, KELANTAN.",31/07/2023.,0199070777,ayamputih89@yahoo.com
AYAM SHF SDN. BHD.,"2, PTD 8757, JALAN PERINDUSTRIAN 1,KAWASAN PERINDUSTRIAN PONTIAN,82000 PONTIAN, JOHOR.82200PONTIANJohor",31/12/2023,076872481,ayamshfhalal@gmail.com
AYAM SRIJATI,"LOT 315772, PERSIARAN INDUSTRI BERCHAM 16,INDUSTRI BERCHAM,31400 IPOH, PERAK31400IPOHPerak",15/07/2023.,0165501074,ayamsrijati@yahoo.com
AYAMAS FOOD CORPORATION SDN BHD,LOT PT 20153JALAN PELABUHAN UTARA42000PELABUHAN KLANGSelangor,15/09/2024,03-31670836,hayazi.darus@qsrbrands.com.my
AYAMLIKES FOOD PROCESSING SDN. BHD. ,"LOT 429,JALAN SEELONG JAYA 13,81400SENAIJohor",30/06/2025,075986545,akfisb@cab.com.my
AZ ZAIN DISTRIBUTION,"LOT 5295 & 5296 BATU 19,JALAN SEMENYIH KAWASAN PERINDUSTRIAN KAJANG JAYA,43500SEMENYIHSelangor",30/11/2022.,01165044040,drzainol.zci@gmail.com
AZA IM ENTERPRISE SDN. BHD.,"15,JALAN PERDANA 5, TAMAN PERDANA,BUKIT SIPUT85020 SEGAMAT, JOHOR",31/12/2022.,07-9431094,aza_impuyuh@yahoo.com
AZAM TERNAK SDN BHD,"NO.1240-E, KG.CHERANG, JALAN YAAKUBIAH, 15200, KOTA BHARU, KELANTAN.",31/07/2024,01126359339,ayamcherang@gmail.com
AZMI FRESH CHICKEN SDN. BHD.,"NO. 97 & 98, JALAN ALAM JAYA 2,TAMAN PERINDUSTRIAN ALAM JAYA, PEKAN NANAS,81500 PONTIAN, JOHOR.",31/12/2022.,075095545/07236879,afcsb_azmi@yahoo.com
AZMI MURNI RESOURCES,"DARUL SAADAH LOT 1251 JALAN USTAZ MIKAMPUNG PETANI SERING,16150, KOTA BHARU, KELANTAN",15/02/2023,0199141891,azmimurni6874@gmail.com
BEISHI TRADING CO. SDN. BHD.,"LOT 989 (PART OF PARENT LOT 101) BLOK 5, SENTAH SEGU LAND DISTRICT16TH MILES, JALAN KUCHING-SERIAN,94000 KUCHING, SARAWAK",15/04/2023.,082864319,beishi_trading@hotmail.com
BESTARI BERSATU SDN. BHD.,"BESTARI BERSATU SDN. BHD. LOT 3.19,, PLAZA AMPANG CITY, JALAN AMPANG,PLAZA AMPANG CITY, JALAN AMPANG,50450KUALA LUMPURWilayah Persekutuan",30/11/2022.,0163382089,bestaribersatu@yahoo.com
BISMI CERGAS SDN BHD,"NO. 11, LOT 4003 & 4004JALAN KANGKONG, SIMPANG EMPAT,06650 ALOR SETAR, KEDAH.06650ALOR SETAR Kedah",15/08/2024,04-7641828,admin@ayambismi.com
BOH MING FOOD PROCESSING INDUSTRIES SDN BHD,"31A, JALAN TAPAH,96000 SIBU, SARAWAK.",15/04/2023.,084-323402,hewhuat@gmail.com
CCK FRESH MART SDN BHD,"LOT NO. 21A & 21B,LOK KAWI INDUSTRIAL ESTATE, PAPAR,88200 KOTA KINABALU, SABAH.88200Sabah",31/10/2022.,088-755177,swezie.nelly@cck.com.my
CHICWAN TRADING SDN BHD,"LOT 2402, BLK 32,KLD 5TH MILE, JALAN SEBIEW,P.O.BOX 1233,BINTULU97000BINTULUSarawak",31/05/2023.,"086-318725, 086-330725",chicmnfu@gmail.com
COMERICH SDN. BHD.,"GROUND  FLOOR, SUBLOT 10 & 11, LRG METROCITY MATANG COMMERCIAL CENTRE, SECTION 65, KTLD,93050 KUCHING, SARAWAK.93050KUCHINGSarawak",15/11/2022.,082-332159,enquiry@comerich.com.my
DEENO FARM SDN BHD,"LOT 1816, INDUSTRY COMMERCIAL PARK  BY PASSPHASE 3 EASTWOODMIRI98000MIRISarawak",31/10/2022.,0138824433,deeno.farm.sb@gmail.com
DELIMA EMAS SDN BHD," NO. 20 & 21,JALAN DAHLIA 6/3 , NILAI IMPIAN, 71800 NILAI, NEGERI SEMBILAN.71800NILAINegeri Sembilan",31/01/2024,0136349928,liyanadelimas@gmail.com
DESA HATCHERY SDN BHD,"23 KM, JALAN PENAMPANG/PAPAR,LOK KAWI INDUSTRIAL ESTATE, 89580 KOTA KINABALU, SABAHSabah",15/11/2022.,088-753008,rosnakahar@hotmail.com
DINDINGS POULTRY PROCESSING SDN BHD,"SUITE 28.01, LEVEL 28, MENARA CITIBANK,165 JALAN AMPANG50450 WILAYAH PERSEKUTUAN, KUALA LUMPUR.",15/09/2024,056917211,mohdaslahbk@mflour.com.my / mariam@mflour.com.my
DWAN ENTERPRISE,"LOT 1021, TEPUS GUNONG,16090, BACHOK, KELANTAN.16090KOTA BHARUKelantan",15/11/2022.,0169244145,DWANENTERPRISE77@GMAIL.COM
DYNAVEST FOOD INDUSTRIES SDN BHD,"PT 3088, JALAN INDUSTRI 1/1,KAWASAN PERINDUSTRIAN GOPENG,31600, GOPENG, PERAK.31600GOPENGPerak",15/06/2023,053573819,contact@dynavestfood.com.my
ERA BUMI AYAM SEGAR,"KAMPUNG SEBERANG BATU HAMPARSOLOK JELAWAI71300, REMBAU, NEGERI SEMBILAN.",15/03/2023.,06-6858947,erabumiayamsegar8947@gmail.com
F.Y. SDN BHD,"27-28, PT 145363, OFF JALAN SERAMIK CHEPOR 11/1,PUSAT SERAMIK FASA 2,31200, CHEPOR, PERAK.31200CHEPORPerak",31/12/2022,05-2016199,fyfood@tm.net.my
FAKHUN ENTERPRISE,"NO 9, JALAN TTS 3/5, TAMAN TASIK SEMENYIHTAMAN TASIK SEMENYIH,43500 SEMENYIH, SELANGOR.",15/12/2022.,0122442447,zaschicken@gmail.com
FARM'S BEST FOOD INDUSTRIES SDN BHD,"LOT 37 & 38,KAWASAN PERINDUSTRIAN MASJID TANAH,78300MASJID TANAHMelaka",15/07/2025,06-3847177,fblbr@farmsbest.com.my
FARMIERA PROCESSING SDN BHD,NO 152 JALAN PERDANA 3 TAMAN PERINDUSTRIAN LUKUTPORT DICKSON NEGERI SEMBILAN71010PORT DICKSONNegeri Sembilan,31/10/2023.,0136009500,ainisahak92@gmail.com 
GEMESTA PUYUH ENTERPRISE,"KG NERAMBAI, LUBOK CHINA,71150, LINGGI, NEGERI SEMBILAN.71150LINGGINegeri Sembilan",15/12/2022.,0163282431,gemesta@yahoo.com.my
GEMILANG BESTARI SDN BHD,"509461 & 240625 HALA INDUSTRI BERCHAM 3, KAWASAN PERINDUSTRIAN RINGAN BERCHAM31400, IPOH, PERAK",30/06/2023.,055492686,rosniaida_gbsb@gmail.com
GOLDEN ELITE FOOD SDN BHD,"NO. 30, PERSIARAN INDUSTRI BERCHAM 9,OFF JALAN BERCHAM, KAWASAN PERINDUSTRIAN RINGAN BERCHAM,31400, IPOH, PERAK",15/11/2022.,055412208,qc_geip@klsp.com.my
GOOD POULTRY SDN BHD,2 JLN SC 5/C PUSAT PERINDUSTRIAN SGCHUAPUSAT PERINDUSTRIAN SG.CHUAKAJANG43000KAJANGSelangor,15/10/2022.,0123583191,ela@goodpoultry.com
HANKEE PROCESSING SDN BHD,"NO.3, JALAN 35/10A, TAMAN PERINDUSTRIAN IKS MUKIM BATU,68100 BATU CAVES, KUALA LUMPUR.",15/06/2023.,0361886111,hankeepro@gmail.com / enquiry@hankee.com.my
