Company Name,Kitchen,,Company Address,Expired Date (Halal),Phone No.,Email
 FA LAI ENTERPRISE,MEDAN SELERA MANJUNG MUSANG KING,,"NO 2485A, TAMAN SAMUDERA ,30240SRI MANUNG Perak",31/12/2024.,103847730,syakfalai@gmail.com
 HEXALENT MANAGEMENT SDN BHD,,,KOPTOWN EDC HOTEL JALAN RAJA LAUTKUALA LUMPUR50350KUALA LUMPURWilayah Persekutuan,31/10/2024.,603-40519191,finance@edckl.com.my
10 CHICKEN DUCK RESTAURANT,,,"10, KAWASAN REHAT & RAWAT NILAI ARAH SELATAN,LEBUHRAYA KL-SEREMBAN,71800Negeri Sembilan",15/10/2023.,176139799,catherinehyc7389@yahoo.com
11 BREAK CAFE,,,"NO. 11, HENTIAN SEBELAH BUKIT GANTANG (U),PROJEK LEBUHRAYA UTARA SELATAN (PLUS),34850 CHANGKAT JERING, PERAKPerak",15/7/2024,175993916,cafe11break@gmail.com
31 CITA RASA SDN. BHD.,MALA MALA MID VALLEY,,"262G, WISMA MUTIARA GENTING,JALAN GENTING KLANG53300SETAPAKWilayah Persekutuan",31/01/2024.,163233206,terrance@malamala.com.my/ yinggirl1002@gmail.com
9 KOPITIAM SDN. BHD.,9 KOPITIAM,,"NO. G-10, SILK RESIDENCE,JALAN SUTERA, LEBUHRAYA SILK43200CHERASSelangor",29/02/2024.,60132524891,9kopitiam.halal@gmail.com
A AQIL ENTERPRISE,KANTIN SEKOLAH MENENGAH TENGKU AMPUAN FATIMAH,,"NO 106,LORONG 1/1 TAMAN PERDANA PERAMU 26600PEKANPahang",31/10/2024.,109066957,anmh0211@gmail.com
A&W MALAYSIA SDN BHD,,,"NO 1 JALAN NILAM 2, TAMAN PERINDUSTRIAN TEKNOLOGI TINGGI SUBANG47500SUBANG JAYASelangor",31/12/2024,03-58887600,syahida@engfood.com.sg
ABADI UTAMA ENTERPRISE,EA TUNA CHEF,,"NO.35, JALAN CASSIA SELATAN 3/3,TAMAN PERINDUSTRIAN BATU KAWANBANDAR CASSIA,14110 BATU KAWAN, PULAU PINANG. Pulau Pinang",31/10/2023.,1110999079,abadiutama@aufigroup.com / abadiutama_4201@yahoo.com.my
ABBA DELIGHTS SDN BHD,ABBA HOT POT & JAPANESE FUSION,,"NO 41,JALAN SS2/6447300PETALING JAYASelangor",15/01/2025.,193158118,estheronn@gmail.com
ABDULLAH BIN KASIM ,,,GERAI NO 5 KAWASAN RAWAT KAWASAN ARAH UTARA08300GURUNKedah,31/12/2023.,177133829,dshcapitals@gmail.com
ABY ND GEAR BOX,GERAI MAKAN,,"NO,13 R&R GAMBANG ARAH BARAT LPT GAMBANG 26300KUANTANPahang",15/07/2024.,196008182,andiabdi8182@gmail.com
ACAPPELLA SUITE HOTEL SDN. BHD.,,,"ACAPPELLA SUITE HOTEL8, PERSIARAN SUKAN,SEKSYEN 1340100Selangor",30/4/2024,350398888,normi.jaafar@gmail.com
ACENTREND CORPORATION SDN BHD (PULLMAN KUALA LUMPUR CITY CENTRE HOTEL AND RESIDENCES),PULLMAN KUALA LUMPUR CITY CENTRE HOTEL & RESIDENCES,,NO 4 JALAN CONLAY50450Wilayah Persekutuan,30/6/2023,321708888,enquiry@pullman-klcc.com
AD EMPIRE RESOURCES,PAT MAT KOAY TEOW THNG,,"NO. 59, PINTASAN MAKLOOM 5JALAN MAKLOOM10150GEORGETOWNPulau Pinang",15/12/2023.,1163539449,pakmatkoayteow@gmail.com
ADAM AQEM ENTERPRISE,GERAI NO 13 (MAKANAN),,"NO 13 KAWASAN REHAT & RAWAT PAKA ARAH UTARA LPT2, 23100 DUNGUN TERENGGANU23100DUNGUNTerengganu",15/03/2024.,194983800,azleedya86@gmail.com
ADDA FRUITS ENTERPRISE,"ADDA FRUITS ENTERPRISE, HENTIAN SEBELAH BUKIT GANTANG (U)",,"3U, HENTIAN SEBELAH BUKIT GANTANG (U),PROJEK LEBUHRAYA UTARA SELATAN (PLUS),34850 CHANGKAT JERING, PERAKPerak",31/01/2024.,175787549,keyrollezam@icloud.com
ADDON WHITE COFFEE SDN BHD,ADDON WHITE COFFEE,,"49, JALAN RAJA MUSA AZIZ,30300IPOHPerak",30/11/2024.,165921175,AddonWhiteCoffee22@gmail.com
ADEN SERVICES MALAYSIA SDN BHD,KANTIN PETROLEUM EQUIPMENT AND SUPPLIES SDN BHD ,,"PETROLEUM EQUIPMENT AND SUPPLIES SDN BHDLOT 67894, JALAN FZ3-P6PORT KLANG FREE ZONE KS1242920PORT KLANGSelangor",15/04/2023.,125552692,mohdsyamsul.bahri@adenservices.com
ADENA RESORT MANAGEMENT SDN. BHD.,ADENA CAFE,,"LOT 1260, MUKIM SUNGAI KARANG, KUANTANMUKIM SUNGAI KARANGPAHANG26100PAHANGPahang",30/11/2024.,95441111,shaharah@adenaresort.com
ADIM MAJU ENTERPRISE,"ADIM RIMBA CAFE, R&R SUNGAI PERAK (S)",,"NO. 118, KAMPUNG RAMBAI TUJUH,33000 KUALA KANGSAR, PERAKPerak",31/01/2024.,194659141,aminahnor347@gmail.com
ADMIRAL MARINA BERHAD (HOTEL),,,"BATU 5 1/2, JALAN PANTAI,SI RUSA,71050PORT DICKSONNegeri Sembilan",15/12/2024.,06-6470888,info@admiralmarina.com.my 
ADVANCED PRESTIGED SDN BHD,,,"1, SUTERA HARBOUR BOULEVARD,88100KOTA KINABALUSabah",30/9/2023,088 - 308071,aziz.sidop@suteraharbour.com.my
ADVENTIST HEALTH SERVICES (MALAYSIA) SDN. BHD.,,,"465, JALAN BURMA,10350, GEORGETOWN, PULAU PINANG.",31/5/2024,04-2227505,foodservices@pah.com.my
AEI INTERNATIONAL BERHAD,MY CAFE,,"NO. 56, JALAN CHOW THYE.OFF JALAN BURMA,10050, PULAU PINANG.Pulau Pinang",15/11/2024,45388826,joseph@aei.com.my
AEON BIG (M) SDN. BHD. ( FORMELY KNOWN AS MAGNIFICIENT DIAGRAPH SDN. BHD.),,,"HEAD OFFICE, 3RD FLOOR, AEON TAMAN MALURI SHOPPING CENTRE,JALAN JEJAKA, TAMAN MALURI,55100CHERASWilayah Persekutuan",15/2/2025,03-92072005,sufari.ishak@aeonretail.com.my
AEON CO. (M) BHD,,,"HEAD OFFICE, 3RD FLOOR, AEON TAMAN MALURI SHOPPING CENTRE,JALAN JEJAKA, TAMAN MALURI, 55100CHERASWilayah Persekutuan",15/2/2025,03-92072005,sufari.ishak@aeonretail.com.my
AFIQ ZULKIFLI ENTERPRISE,GERAI A7 MINUMAN,,NO.2366-13 JALAN KAPOR KAMPUNG MAK CHILI24000Terengganu,15/01/2024.,1110955219,roseaziaah@gmail.com
AH CHENG LAKSA TRADING SDN. BHD.,AH CHENG LAKSA,,"NO 2 & 4, JALAN INDUSTRI USJ 1/1 TAMAN PERINDUSTRIAN USJ 1 47600 SUBANG JAYA, SELANGOR47600SUBANG JAYASelangor",28/02/2025.,03-80817146,aclgov@ahchenglaksa.com.my
AHMAD BIN ISMAIL,,,GERAI NO 14TEMERLOH TIMURKAWASAN REHAT LEBUHRAYA PANTAI TIMUR28000TEMERLOHPahang,31/01/2025.,129012185,aznanahmad98@gmail.com
AHMAD YANI BIN AMINUDDIN,"FYS CAFE, HENTIAN SEBELAH BUKIT GANTANG (U)",,"NO. 22, PERSIARAN WIRAJAYA BARAT 60,TAMAN RAPAT SETIA BARU,31350 IPOH, PERAKPerak",29/02/2024.,165515070,faiyan.sgi@gmail.com
AHROY THAI CUISINE,,,"NO. 46-48, GRD FLOOR & BASEMENT FLRJALAN MANIS 1TAMAN SEGAR56100Wilayah Persekutuan",30/09/2023.,391332330,ahroy_rest@yahoo.com
AHZO FOOD STALL,,,"NO,10 R&R GAMBANG ARAH BARAT,LPT GAMBANG26300KUANTANPahang",29/02/2024.,123444479,naz3774@yahoo.com
AI BAKE BAKERY PLT,AI BAKE BAKERY & GIFT,,"NO 3A, JALAN 15, DESA JAYA52100 KEPONGWILAYAH PERSEKUTUAN KUALA LUMPUR",15/10/2024,125168189,ai.bake.cookies@gmail.com
AIDA TEGUH UTARA ENTERPRISE ,,,GERAI NO 2 KAWASAN REHAT & RAWAT LEBUHRAYA UTARA SELATAN08300GURUNKedah,15/04/2024.,125505057,noraidahmatsaidaidacafe69@gmail.com
AIMAN RESTU ENTERPRISE,DEWAN MAKAN INAPAN KASIH SAYANG,,"27, TINGKAT ATAS, TAMAN PASIR EMAS,JALAN BALIK PULAU,11000, BALIK PULAU, PULAU PINANG.",28/02/2023.,48661951,aimanrestu99@gmail.com
AJI MESTIKA FOODS SDN BHD,RESTORAN MALATOOP,,"NO. 36, JALAN DATUK SULAIMANTAMAN TUN DR ISMAIL, KUALA LUMPUR60000KUALA LUMPURWilayah Persekutuan",15/06/2023.,126090121,stephen@malatoop.com
AJI SUSHI SDN BHD,AJI SUSHI,,"42(G),JALAN 7/7,SEKSYEN 7 BANDAR BARU BANGI43650SELANGORSelangor",15/02/2025.,123605259,ajisushimalaysia@gmail.com
AL-ARABY MATHA'AM (M) SDN BHD,,,"G3-G4, TESCO EXTRA SEBERANG JAYA,13700SEBERANG JAYAPulau Pinang",31/05/2023.,43993880,arabymathaam.bbm@@gmail.com
AL-HABSHEE ENTERPRISE,,,"STESEN MINYAK PETRONAS,LOT 1333,BANDAR BARU ROMPIN26800KUALA ROMPINPahang",31/10/2023.,145296712,binapermaienterprise@gmail.com
ALADDINTI SDN. BHD.,ALADDINTI,,NO 31 JALAN KOTA 2TAMAN CAHAYA KOTA PUTERI81750MASAIJohor,29/02/2024.,137696666,aladdintimy@gmail.com
ALANNA KITCHEN,ALANNA'S KITCHEN,,"NO:8, JALAN PANDAN INDAH 1/23DPANDAN INDAH, 55100Wilayah Persekutuan",30/11/2024.,125518227,alannakitchen15@yahoo.com
